1f600,GRINNING FACE
1f5fe,SILHOUETTE OF JAPAN<br>≊ map of japan
1f3d4,SNOW CAPPED MOUNTAIN<br>≊ snow-capped mountain
26f0,MOUNTAIN
1f30b,VOLCANO
1f5fb,MOUNT FUJI
1f3d5,CAMPING
1f3d6,BEACH WITH UMBRELLA
1f3dc,DESERT
1f3dd,DESERT ISLAND
1f3de,NATIONAL PARK
1f3df,STADIUM
1f3db,CLASSICAL BUILDING
1f3d7,BUILDING CONSTRUCTION
1f3d8,HOUSE BUILDINGS
1f3d9,CITYSCAPE
1f3da,DERELICT HOUSE BUILDING
1f3e0,HOUSE BUILDING
1f3e1,HOUSE WITH GARDEN
1f3e2,OFFICE BUILDING
1f3e3,JAPANESE POST OFFICE
1f3e4,EUROPEAN POST OFFICE<br>≊ post office
1f3e5,HOSPITAL
1f3e6,BANK
1f3e8,HOTEL
1f3e9,LOVE HOTEL
1f3ea,CONVENIENCE STORE
1f3eb,SCHOOL
1f3ec,DEPARTMENT STORE
1f3ed,FACTORY
1f3ef,JAPANESE CASTLE
1f3f0,EUROPEAN CASTLE<br>≊ castle
1f492,WEDDING
1f5fc,TOKYO TOWER
1f5fd,STATUE OF LIBERTY
26ea,CHURCH
1f54c,MOSQUE
1f54d,SYNAGOGUE
26e9,SHINTO SHRINE
1f54b,KAABA
26f2,FOUNTAIN
26fa,TENT
1f301,FOGGY
1f303,NIGHT WITH STARS
1f304,SUNRISE OVER MOUNTAINS
1f305,SUNRISE
1f306,CITYSCAPE AT DUSK
1f307,SUNSET OVER BUILDINGS<br>≊ sunset
1f309,BRIDGE AT NIGHT
2668,HOT SPRINGS
1f30c,MILKY WAY
1f3a0,CAROUSEL HORSE
1f3a1,FERRIS WHEEL
1f3a2,ROLLER COASTER
1f488,BARBER POLE
1f3aa,CIRCUS TENT
1f3ad,PERFORMING ARTS
1f5bc,FRAME WITH PICTURE
1f3a8,ARTIST PALETTE
1f3b0,SLOT MACHINE
1f682,STEAM LOCOMOTIVE<br>≊ locomotive
1f683,RAILWAY CAR
1f684,HIGH-SPEED TRAIN
1f685,HIGH-SPEED TRAIN WITH BULLET NOSE
1f686,TRAIN
1f687,METRO
1f688,LIGHT RAIL
1f689,STATION
1f68a,TRAM
1f69d,MONORAIL
1f69e,MOUNTAIN RAILWAY
1f68b,TRAM CAR
1f68c,BUS
1f68d,ONCOMING BUS
1f68e,TROLLEYBUS
1f68f,BUS STOP
1f690,MINIBUS
1f691,AMBULANCE
1f692,FIRE ENGINE
1f693,POLICE CAR
1f694,ONCOMING POLICE CAR
1f695,TAXI
1f696,ONCOMING TAXI
1f697,AUTOMOBILE
1f698,ONCOMING AUTOMOBILE
1f699,RECREATIONAL VEHICLE
1f69a,DELIVERY TRUCK
1f69b,ARTICULATED LORRY
1f69c,TRACTOR
1f6b2,BICYCLE
26fd,FUEL PUMP
1f6e3,MOTORWAY
1f6e4,RAILWAY TRACK
1f6a8,POLICE CARS REVOLVING LIGHT<br>≊ police car’s light
1f6a5,HORIZONTAL TRAFFIC LIGHT
1f6a6,VERTICAL TRAFFIC LIGHT
1f6a7,CONSTRUCTION SIGN<br>≊ construction
2693,ANCHOR
26f5,SAILBOAT
1f6a3,ROWBOAT
1f6a3_1f3fb,Rowboat, type-1-2
1f6a3_1f3fc,Rowboat, type-3
1f6a3_1f3fd,Rowboat, type-4
1f6a3_1f3fe,Rowboat, type-5
1f6a3_1f3ff,Rowboat, type-6
1f6a4,SPEEDBOAT
1f6f3,PASSENGER SHIP
26f4,FERRY
1f6e5,MOTOR BOAT
1f6a2,SHIP
2708,AIRPLANE
1f6e9,SMALL AIRPLANE
1f6eb,AIRPLANE DEPARTURE
1f6ec,AIRPLANE ARRIVING<br>≊ airplane arrival
1f4ba,SEAT
1f681,HELICOPTER
1f69f,SUSPENSION RAILWAY
1f6a0,MOUNTAIN CABLEWAY
1f6a1,AERIAL TRAMWAY
1f680,ROCKET
1f6f0,SATELLITE
1f6ce,BELLHOP BELL
1f6aa,DOOR
1f6cc,SLEEPING ACCOMMODATION<br>≊ person in bed
1f6cf,BED
1f6cb,COUCH AND LAMP
1f6bd,TOILET
1f6bf,SHOWER
1f6c0,BATH<br>≊ person taking bath
1f6c0_1f3fb,Bath, type-1-2
1f6c0_1f3fc,Bath, type-3
1f6c0_1f3fd,Bath, type-4
1f6c0_1f3fe,Bath, type-5
1f6c0_1f3ff,Bath, type-6
1f6c1,BATHTUB
231b,HOURGLASS
23f3,HOURGLASS WITH FLOWING SAND
231a,WATCH
23f0,ALARM CLOCK
23f1,STOPWATCH
23f2,TIMER CLOCK
1f570,MANTELPIECE CLOCK
1f55b,CLOCK FACE TWELVE OCLOCK<br>≊ twelve o’clock
1f567,CLOCK FACE TWELVE-THIRTY<br>≊ twelve-thirty
1f550,CLOCK FACE ONE OCLOCK<br>≊ one o’clock
1f55c,CLOCK FACE ONE-THIRTY<br>≊ one-thirty
1f551,CLOCK FACE TWO OCLOCK<br>≊ two o’clock
1f55d,CLOCK FACE TWO-THIRTY<br>≊ two-thirty
1f552,CLOCK FACE THREE OCLOCK<br>≊ three o’clock
1f55e,CLOCK FACE THREE-THIRTY<br>≊ three-thirty
1f553,CLOCK FACE FOUR OCLOCK<br>≊ four o’clock
1f55f,CLOCK FACE FOUR-THIRTY<br>≊ four-thirty
1f554,CLOCK FACE FIVE OCLOCK<br>≊ five o’clock
1f560,CLOCK FACE FIVE-THIRTY<br>≊ five-thirty
1f555,CLOCK FACE SIX OCLOCK<br>≊ six o’clock
1f561,CLOCK FACE SIX-THIRTY<br>≊ six-thirty
1f556,CLOCK FACE SEVEN OCLOCK<br>≊ seven o’clock
1f562,CLOCK FACE SEVEN-THIRTY<br>≊ seven-thirty
1f557,CLOCK FACE EIGHT OCLOCK<br>≊ eight o’clock
1f563,CLOCK FACE EIGHT-THIRTY<br>≊ eight-thirty
1f558,CLOCK FACE NINE OCLOCK<br>≊ nine o’clock
1f564,CLOCK FACE NINE-THIRTY<br>≊ nine-thirty
1f559,CLOCK FACE TEN OCLOCK<br>≊ ten o’clock
1f565,CLOCK FACE TEN-THIRTY<br>≊ ten-thirty
1f55a,CLOCK FACE ELEVEN OCLOCK<br>≊ eleven o’clock
1f566,CLOCK FACE ELEVEN-THIRTY<br>≊ eleven-thirty
1f311,NEW MOON SYMBOL<br>≊ new moon
1f312,WAXING CRESCENT MOON SYMBOL<br>≊ waxing crescent moon
1f313,FIRST QUARTER MOON SYMBOL<br>≊ first quarter moon
1f314,WAXING GIBBOUS MOON SYMBOL<br>≊ waxing gibbous moon
1f315,FULL MOON SYMBOL<br>≊ full moon
1f316,WANING GIBBOUS MOON SYMBOL<br>≊ waning gibbous moon
1f317,LAST QUARTER MOON SYMBOL<br>≊ last quarter moon
1f318,WANING CRESCENT MOON SYMBOL<br>≊ waning crescent moon
1f319,CRESCENT MOON
1f31a,NEW MOON WITH FACE<br>≊ new moon face
1f31b,FIRST QUARTER MOON WITH FACE
1f31c,LAST QUARTER MOON WITH FACE
1f321,THERMOMETER
2600,BLACK SUN WITH RAYS<br>≊ sun
1f31d,FULL MOON WITH FACE
1f31e,SUN WITH FACE
2b50,WHITE MEDIUM STAR
1f31f,GLOWING STAR
1f320,SHOOTING STAR
2601,CLOUD
26c5,SUN BEHIND CLOUD
26c8,THUNDER CLOUD AND RAIN<br>≊ cloud with lightning and rain
1f324,WHITE SUN WITH SMALL CLOUD<br>≊ sun behind small cloud
1f325,WHITE SUN BEHIND CLOUD<br>≊ sun behind large cloud
1f326,WHITE SUN BEHIND CLOUD WITH RAIN<br>≊ sun behind cloud with rain
1f327,CLOUD WITH RAIN
1f328,CLOUD WITH SNOW
1f329,CLOUD WITH LIGHTNING
1f32a,CLOUD WITH TORNADO<br>≊ tornado
1f32b,FOG
1f32c,WIND BLOWING FACE<br>≊ wind face
1f300,CYCLONE
1f308,RAINBOW
1f302,CLOSED UMBRELLA
2602,UMBRELLA
2614,UMBRELLA WITH RAIN DROPS
26f1,UMBRELLA ON GROUND
26a1,HIGH VOLTAGE SIGN<br>≊ high voltage
2744,SNOWFLAKE
2603,SNOWMAN
26c4,SNOWMAN WITHOUT SNOW
2604,COMET
1f525,FIRE
1f4a7,DROPLET
1f30a,WATER WAVE
1f383,JACK-O-LANTERN
1f384,CHRISTMAS TREE
1f386,FIREWORKS
1f387,FIREWORK SPARKLER<br>≊ sparkler
2728,SPARKLES
1f388,BALLOON
1f389,PARTY POPPER
1f38a,CONFETTI BALL
1f38b,TANABATA TREE
1f38d,PINE DECORATION
1f38e,JAPANESE DOLLS
1f38f,CARP STREAMER
1f390,WIND CHIME
1f391,MOON VIEWING CEREMONY<br>≊ moon ceremony
1f380,RIBBON
1f381,WRAPPED PRESENT
1f397,REMINDER RIBBON
1f39f,ADMISSION TICKETS
1f3ab,TICKET
1f396,MILITARY MEDAL
1f3c6,TROPHY
1f3c5,SPORTS MEDAL
26bd,SOCCER BALL
26be,BASEBALL
1f3c0,BASKETBALL AND HOOP<br>≊ basketball
1f3d0,VOLLEYBALL
1f3c8,AMERICAN FOOTBALL
1f3c9,RUGBY FOOTBALL
1f3be,TENNIS RACQUET AND BALL<br>≊ tennis
1f3b1,BILLIARDS
1f3b3,BOWLING
1f3cf,CRICKET BAT AND BALL<br>≊ cricket
1f3d1,FIELD HOCKEY STICK AND BALL<br>≊ field hockey
1f3d2,ICE HOCKEY STICK AND PUCK
1f3d3,TABLE TENNIS PADDLE AND BALL<br>≊ ping pong
1f3f8,BADMINTON RACQUET AND SHUTTLECOCK<br>≊ badminton
26f3,FLAG IN HOLE
1f3cc,GOLFER
26f8,ICE SKATE
1f3a3,FISHING POLE AND FISH<br>≊ fishing pole
1f3bd,RUNNING SHIRT WITH SASH<br>≊ running shirt
1f3bf,SKI AND SKI BOOT<br>≊ skis
26f7,SKIER
1f3c2,SNOWBOARDER
1f3c4,SURFER
1f3c4_1f3fb,Surfer, type-1-2
1f3c4_1f3fc,Surfer, type-3
1f3c4_1f3fd,Surfer, type-4
1f3c4_1f3fe,Surfer, type-5
1f3c4_1f3ff,Surfer, type-6
1f3c7,HORSE RACING
1f3ca,SWIMMER
1f3ca_1f3fb,Swimmer, type-1-2
1f3ca_1f3fc,Swimmer, type-3
1f3ca_1f3fd,Swimmer, type-4
1f3ca_1f3fe,Swimmer, type-5
1f3ca_1f3ff,Swimmer, type-6
26f9,PERSON WITH BALL
26f9_1f3fb,Person with ball, type-1-2
26f9_1f3fc,Person with ball, type-3
26f9_1f3fd,Person with ball, type-4
26f9_1f3fe,Person with ball, type-5
26f9_1f3ff,Person with ball, type-6
1f3cb,WEIGHT LIFTER
1f3cb_1f3fb,Weight lifter, type-1-2
1f3cb_1f3fc,Weight lifter, type-3
1f3cb_1f3fd,Weight lifter, type-4
1f3cb_1f3fe,Weight lifter, type-5
1f3cb_1f3ff,Weight lifter, type-6
1f6b4,BICYCLIST
1f6b4_1f3fb,Bicyclist, type-1-2
1f6b4_1f3fc,Bicyclist, type-3
1f6b4_1f3fd,Bicyclist, type-4
1f6b4_1f3fe,Bicyclist, type-5
1f6b4_1f3ff,Bicyclist, type-6
1f6b5,MOUNTAIN BICYCLIST<br>≊ mountain biker
1f6b5_1f3fb,Mountain bicyclist, type-1-2
1f6b5_1f3fc,Mountain bicyclist, type-3
1f6b5_1f3fd,Mountain bicyclist, type-4
1f6b5_1f3fe,Mountain bicyclist, type-5
1f6b5_1f3ff,Mountain bicyclist, type-6
1f3ce,RACING CAR
1f3cd,RACING MOTORCYCLE<br>≊ motorcycle
1f3af,DIRECT HIT
1f3ae,VIDEO GAME
1f579,JOYSTICK
1f3b2,GAME DIE
2660,BLACK SPADE SUIT<br>≊ spade suit
2665,BLACK HEART SUIT<br>≊ heart suit
2666,BLACK DIAMOND SUIT<br>≊ diamond suit
2663,BLACK CLUB SUIT<br>≊ club suit
1f0cf,PLAYING CARD BLACK JOKER<br>≊ joker
1f004,MAHJONG TILE RED DRAGON<br>≊ mahjong red dragon
1f3b4,FLOWER PLAYING CARDS
1f507,SPEAKER WITH CANCELLATION STROKE<br>≊ speaker off
1f508,SPEAKER
1f509,SPEAKER WITH ONE SOUND WAVE<br>≊ speaker on
1f50a,SPEAKER WITH THREE SOUND WAVES<br>≊ speaker loud
1f4e2,PUBLIC ADDRESS LOUDSPEAKER<br>≊ loudspeaker
1f4e3,CHEERING MEGAPHONE<br>≊ megaphone
1f4ef,POSTAL HORN
1f514,BELL
1f515,BELL WITH CANCELLATION STROKE<br>≊ bell with slash
1f3bc,MUSICAL SCORE
1f3b5,MUSICAL NOTE
1f3b6,MULTIPLE MUSICAL NOTES<br>≊ musical notes
1f399,STUDIO MICROPHONE
1f39a,LEVEL SLIDER
1f39b,CONTROL KNOBS
1f3a4,MICROPHONE
1f3a7,HEADPHONE
1f4fb,RADIO
1f3b7,SAXOPHONE
1f3b8,GUITAR
1f3b9,MUSICAL KEYBOARD
1f3ba,TRUMPET
1f3bb,VIOLIN
1f4f1,MOBILE PHONE
1f4f2,MOBILE PHONE WITH RIGHTWARDS ARROW AT LEFT<br>≊ mobile phone with arrow
260e,BLACK TELEPHONE<br>≊ telephone
1f4de,TELEPHONE RECEIVER
1f4df,PAGER
1f4e0,FAX MACHINE
1f50b,BATTERY
1f50c,ELECTRIC PLUG
1f4bb,PERSONAL COMPUTER<br>≊ laptop computer
1f5a5,DESKTOP COMPUTER
1f5a8,PRINTER
2328,KEYBOARD
1f5b1,THREE BUTTON MOUSE<br>≊ computer mouse
1f5b2,TRACKBALL
1f4bd,MINIDISC
1f4be,FLOPPY DISK
1f4bf,OPTICAL DISC
1f4c0,DVD
1f3a5,MOVIE CAMERA
1f39e,FILM FRAMES
1f4fd,FILM PROJECTOR
1f3ac,CLAPPER BOARD
1f4fa,TELEVISION
1f4f7,CAMERA
1f4f8,CAMERA WITH FLASH
1f4f9,VIDEO CAMERA
1f4fc,VIDEOCASSETTE
1f50d,LEFT-POINTING MAGNIFYING GLASS
1f50e,RIGHT-POINTING MAGNIFYING GLASS
1f52c,MICROSCOPE
1f52d,TELESCOPE
1f4e1,SATELLITE ANTENNA
1f56f,CANDLE
1f4a1,ELECTRIC LIGHT BULB<br>≊ light bulb
1f526,ELECTRIC TORCH<br>≊ flashlight
1f3ee,IZAKAYA LANTERN<br>≊ red paper lantern
1f4d4,NOTEBOOK WITH DECORATIVE COVER
1f4d5,CLOSED BOOK
1f4d6,OPEN BOOK
1f4d7,GREEN BOOK
1f4d8,BLUE BOOK
1f4d9,ORANGE BOOK
1f4da,BOOKS
1f4d3,NOTEBOOK
1f4d2,LEDGER
1f4c3,PAGE WITH CURL
1f4dc,SCROLL
1f4c4,PAGE FACING UP
1f4f0,NEWSPAPER
1f5de,ROLLED-UP NEWSPAPER
1f4d1,BOOKMARK TABS
1f516,BOOKMARK
1f3f7,LABEL
1f4b0,MONEY BAG
1f4b4,BANKNOTE WITH YEN SIGN<br>≊ yen banknote
1f4b5,BANKNOTE WITH DOLLAR SIGN<br>≊ dollar banknote
1f4b6,BANKNOTE WITH EURO SIGN<br>≊ euro banknote
1f4b7,BANKNOTE WITH POUND SIGN<br>≊ pound banknote
1f4b8,MONEY WITH WINGS
1f4b3,CREDIT CARD
1f4b9,CHART WITH UPWARDS TREND AND YEN SIGN<br>≊ chart increasing with yen
1f4b1,CURRENCY EXCHANGE
1f4b2,HEAVY DOLLAR SIGN
2709,ENVELOPE
1f4e7,E-MAIL SYMBOL<br>≊ e-mail
1f4e8,INCOMING ENVELOPE
1f4e9,ENVELOPE WITH DOWNWARDS ARROW ABOVE<br>≊ envelope with arrow
1f4e4,OUTBOX TRAY
1f4e5,INBOX TRAY
1f4e6,PACKAGE
1f4eb,CLOSED MAILBOX WITH RAISED FLAG
1f4ea,CLOSED MAILBOX WITH LOWERED FLAG
1f4ec,OPEN MAILBOX WITH RAISED FLAG
1f4ed,OPEN MAILBOX WITH LOWERED FLAG
1f4ee,POSTBOX
1f5f3,BALLOT BOX WITH BALLOT
270f,PENCIL
2712,BLACK NIB
1f58b,LOWER LEFT FOUNTAIN PEN<br>≊ fountain pen
1f58a,LOWER LEFT BALLPOINT PEN<br>≊ pen
1f58c,LOWER LEFT PAINTBRUSH<br>≊ paintbrush
1f58d,LOWER LEFT CRAYON<br>≊ crayon
1f4dd,MEMO
1f4bc,BRIEFCASE
1f4c1,FILE FOLDER
1f4c2,OPEN FILE FOLDER
1f5c2,CARD INDEX DIVIDERS
1f4c5,CALENDAR
1f4c6,TEAR-OFF CALENDAR
1f5d2,SPIRAL NOTE PAD<br>≊ spiral notepad
1f5d3,SPIRAL CALENDAR PAD<br>≊ spiral calendar
1f4c7,CARD INDEX
1f4c8,CHART WITH UPWARDS TREND<br>≊ chart increasing
1f4c9,CHART WITH DOWNWARDS TREND<br>≊ chart decreasing
1f4ca,BAR CHART
1f4cb,CLIPBOARD
1f4cc,PUSHPIN
1f4cd,ROUND PUSHPIN
1f4ce,PAPERCLIP
1f587,LINKED PAPERCLIPS
1f4cf,STRAIGHT RULER
1f4d0,TRIANGULAR RULER
2702,BLACK SCISSORS<br>≊ scissors
1f5c3,CARD FILE BOX
1f5c4,FILE CABINET
1f5d1,WASTEBASKET
1f512,LOCK
1f513,OPEN LOCK
1f50f,LOCK WITH INK PEN<br>≊ lock with pen
1f510,CLOSED LOCK WITH KEY
1f511,KEY
1f5dd,OLD KEY
1f528,HAMMER
26cf,PICK
2692,HAMMER AND PICK
1f6e0,HAMMER AND WRENCH
1f5e1,DAGGER KNIFE<br>≊ dagger
2694,CROSSED SWORDS
1f52b,PISTOL
1f3f9,BOW AND ARROW
1f6e1,SHIELD
1f527,WRENCH
1f529,NUT AND BOLT
2699,GEAR
1f5dc,COMPRESSION
2697,ALEMBIC
2696,SCALES<br>≊ balance scale
1f517,LINK SYMBOL<br>≊ link
26d3,CHAINS
1f489,SYRINGE
1f48a,PILL
1f6ac,SMOKING SYMBOL<br>≊ smoking
26b0,COFFIN
26b1,FUNERAL URN
1f5ff,MOYAI<br>≊ moai
1f6e2,OIL DRUM
1f52e,CRYSTAL BALL
1f3e7,AUTOMATED TELLER MACHINE<br>≊ ATM sign
1f6ae,PUT LITTER IN ITS PLACE SYMBOL<br>≊ litter in bin sign
1f6b0,POTABLE WATER SYMBOL<br>≊ potable water
267f,WHEELCHAIR SYMBOL<br>≊ wheelchair
1f6b9,MENS SYMBOL<br>≊ men’s room
1f6ba,WOMENS SYMBOL<br>≊ women’s room
1f6bb,RESTROOM
1f6bc,BABY SYMBOL
1f6be,WATER CLOSET
1f6c2,PASSPORT CONTROL
1f6c3,CUSTOMS
1f6c4,BAGGAGE CLAIM
1f6c5,LEFT LUGGAGE
26a0,WARNING SIGN<br>≊ warning
1f6b8,CHILDREN CROSSING
26d4,NO ENTRY
1f6ab,NO ENTRY SIGN<br>≊ prohibited
1f6b3,NO BICYCLES
1f6ad,NO SMOKING SYMBOL<br>≊ no smoking
1f6af,DO NOT LITTER SYMBOL<br>≊ no littering
1f6b1,NON-POTABLE WATER SYMBOL<br>≊ non-potable water
1f6b7,NO PEDESTRIANS
1f4f5,NO MOBILE PHONES
1f51e,NO ONE UNDER EIGHTEEN SYMBOL<br>≊ no one under eighteen
2622,RADIOACTIVE SIGN<br>≊ radioactive
2623,BIOHAZARD SIGN<br>≊ biohazard
2b06,UPWARDS BLACK ARROW<br>≊ up arrow
2197,NORTH EAST ARROW<br>≊ up-right arrow
27a1,BLACK RIGHTWARDS ARROW<br>≊ right arrow
2198,SOUTH EAST ARROW<br>≊ down-right arrow
2b07,DOWNWARDS BLACK ARROW<br>≊ down arrow
2199,SOUTH WEST ARROW<br>≊ down-left arrow
2b05,LEFTWARDS BLACK ARROW<br>≊ left arrow
2196,NORTH WEST ARROW<br>≊ up-left arrow
2195,UP DOWN ARROW<br>≊ up-down arrow
2194,LEFT RIGHT ARROW<br>≊ left-right arrow
21a9,LEFTWARDS ARROW WITH HOOK<br>≊ right arrow curving left
21aa,RIGHTWARDS ARROW WITH HOOK<br>≊ left arrow curving right
2934,ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS<br>≊ right arrow curving up
2935,ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS<br>≊ right arrow curving down
1f503,CLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS<br>≊ clockwise vertical arrows
1f504,ANTICLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS<br>≊ anticlockwise arrows button
1f519,BACK WITH LEFTWARDS ARROW ABOVE<br>≊ back arrow
1f51a,END WITH LEFTWARDS ARROW ABOVE<br>≊ end arrow
1f51b,ON WITH EXCLAMATION MARK WITH LEFT RIGHT ARROW ABOVE<br>≊ on! arrow
1f51c,SOON WITH RIGHTWARDS ARROW ABOVE<br>≊ soon arrow
1f51d,TOP WITH UPWARDS ARROW ABOVE<br>≊ top arrow
1f6d0,PLACE OF WORSHIP
269b,ATOM SYMBOL
1f549,OM SYMBOL<br>≊ om
2721,STAR OF DAVID
2638,WHEEL OF DHARMA
262f,YIN YANG
271d,LATIN CROSS
2626,ORTHODOX CROSS
262a,STAR AND CRESCENT
262e,PEACE SYMBOL
1f54e,MENORAH WITH NINE BRANCHES<br>≊ menorah
1f52f,SIX POINTED STAR WITH MIDDLE DOT<br>≊ dotted six-pointed star
267b,BLACK UNIVERSAL RECYCLING SYMBOL<br>≊ recycling symbol
1f4db,NAME BADGE
269c,FLEUR-DE-LIS
1f530,JAPANESE SYMBOL FOR BEGINNER
1f531,TRIDENT EMBLEM
2b55,HEAVY LARGE CIRCLE
2705,WHITE HEAVY CHECK MARK
2611,BALLOT BOX WITH CHECK
2714,HEAVY CHECK MARK
2716,HEAVY MULTIPLICATION X
274c,CROSS MARK
274e,NEGATIVE SQUARED CROSS MARK<br>≊ cross mark button
2795,HEAVY PLUS SIGN
2796,HEAVY MINUS SIGN
2797,HEAVY DIVISION SIGN
27b0,CURLY LOOP
27bf,DOUBLE CURLY LOOP
303d,PART ALTERNATION MARK
2733,EIGHT SPOKED ASTERISK<br>≊ eight-spoked asterisk
2734,EIGHT POINTED BLACK STAR<br>≊ eight-pointed star
2747,SPARKLE
203c,DOUBLE EXCLAMATION MARK
2049,EXCLAMATION QUESTION MARK
2753,BLACK QUESTION MARK ORNAMENT<br>≊ question mark
2754,WHITE QUESTION MARK ORNAMENT<br>≊ white question mark
2755,WHITE EXCLAMATION MARK ORNAMENT<br>≊ white exclamation mark
2757,HEAVY EXCLAMATION MARK SYMBOL<br>≊ exclamation mark
3030,WAVY DASH
00a9,COPYRIGHT SIGN<br>≊ copyright
00ae,REGISTERED SIGN<br>≊ registered
2122,TRADE MARK SIGN<br>≊ trade mark
2648,ARIES
2649,TAURUS
264a,GEMINI
264b,CANCER
264c,LEO
264d,VIRGO
264e,LIBRA
264f,SCORPIUS
2650,SAGITTARIUS
2651,CAPRICORN
2652,AQUARIUS
2653,PISCES
26ce,OPHIUCHUS
1f500,TWISTED RIGHTWARDS ARROWS<br>≊ shuffle tracks button
1f501,CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS<br>≊ repeat button
1f502,CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS WITH CIRCLED ONE OVERLAY<br>≊ repeat single button
25b6,BLACK RIGHT-POINTING TRIANGLE<br>≊ play button
23e9,BLACK RIGHT-POINTING DOUBLE TRIANGLE<br>≊ fast-forword button
23ed,BLACK RIGHT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR<br>≊ next track button
23ef,BLACK RIGHT-POINTING TRIANGLE WITH DOUBLE VERTICAL BAR<br>≊ play or pause button
25c0,BLACK LEFT-POINTING TRIANGLE<br>≊ reverse button
23ea,BLACK LEFT-POINTING DOUBLE TRIANGLE<br>≊ fast reverse button
23ee,BLACK LEFT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR<br>≊ last track button
1f53c,UP-POINTING SMALL RED TRIANGLE<br>≊ up button
23eb,BLACK UP-POINTING DOUBLE TRIANGLE<br>≊ fast up button
1f53d,DOWN-POINTING SMALL RED TRIANGLE<br>≊ down button
23ec,BLACK DOWN-POINTING DOUBLE TRIANGLE<br>≊ fast down button
23f8,DOUBLE VERTICAL BAR<br>≊ pause button
23f9,BLACK SQUARE FOR STOP<br>≊ stop button
23fa,BLACK CIRCLE FOR RECORD<br>≊ record button
1f3a6,CINEMA
1f505,LOW BRIGHTNESS SYMBOL<br>≊ dim button
1f506,HIGH BRIGHTNESS SYMBOL<br>≊ bright button
1f4f6,ANTENNA WITH BARS<br>≊ antenna bars
1f4f3,VIBRATION MODE
1f4f4,MOBILE PHONE OFF
0023_fe0f_20e3,Keycap NUMBER SIGN
002a_fe0f_20e3,Keycap ASTERISK
0030_fe0f_20e3,Keycap DIGIT ZERO
0031_fe0f_20e3,Keycap DIGIT ONE
0032_fe0f_20e3,Keycap DIGIT TWO
0033_fe0f_20e3,Keycap DIGIT THREE
0034_fe0f_20e3,Keycap DIGIT FOUR
0035_fe0f_20e3,Keycap DIGIT FIVE
0036_fe0f_20e3,Keycap DIGIT SIX
0037_fe0f_20e3,Keycap DIGIT SEVEN
0038_fe0f_20e3,Keycap DIGIT EIGHT
0039_fe0f_20e3,Keycap DIGIT NINE
1f51f,KEYCAP TEN
1f4af,HUNDRED POINTS SYMBOL<br>≊ hundred points
1f520,INPUT SYMBOL FOR LATIN CAPITAL LETTERS<br>≊ input latin uppercase
1f521,INPUT SYMBOL FOR LATIN SMALL LETTERS<br>≊ input latin lowercase
1f522,INPUT SYMBOL FOR NUMBERS<br>≊ input numbers
1f523,INPUT SYMBOL FOR SYMBOLS<br>≊ input symbols
1f524,INPUT SYMBOL FOR LATIN LETTERS<br>≊ input latin letters
1f170,NEGATIVE SQUARED LATIN CAPITAL LETTER A<br>≊ a button
1f18e,NEGATIVE SQUARED AB<br>≊ ab button
1f171,NEGATIVE SQUARED LATIN CAPITAL LETTER B<br>≊ b button
1f191,SQUARED CL
1f192,SQUARED COOL
1f193,SQUARED FREE
2139,INFORMATION SOURCE
1f194,SQUARED ID
24c2,CIRCLED LATIN CAPITAL LETTER M<br>≊ circled letter m
1f195,SQUARED NEW
1f196,SQUARED NG
1f17e,NEGATIVE SQUARED LATIN CAPITAL LETTER O<br>≊ o button
1f197,SQUARED OK
1f17f,NEGATIVE SQUARED LATIN CAPITAL LETTER P<br>≊ p button
1f198,SQUARED SOS
1f199,SQUARED UP WITH EXCLAMATION MARK<br>≊ up! button
1f19a,SQUARED VS
1f201,SQUARED KATAKANA KOKO
1f202,SQUARED KATAKANA SA
1f237,SQUARED CJK UNIFIED IDEOGRAPH-6708<br>≊ squared moon ideograph
1f236,SQUARED CJK UNIFIED IDEOGRAPH-6709<br>≊ squared exist ideograph
1f22f,SQUARED CJK UNIFIED IDEOGRAPH-6307<br>≊ squared finger ideograph
1f250,CIRCLED IDEOGRAPH ADVANTAGE<br>≊ circled advantage ideograph
1f239,SQUARED CJK UNIFIED IDEOGRAPH-5272<br>≊ squared divide ideograph
1f21a,SQUARED CJK UNIFIED IDEOGRAPH-7121<br>≊ squared negation ideograph
1f232,SQUARED CJK UNIFIED IDEOGRAPH-7981<br>≊ squared prohibit ideograph
1f251,CIRCLED IDEOGRAPH ACCEPT<br>≊ circled accept ideograph
1f238,SQUARED CJK UNIFIED IDEOGRAPH-7533<br>≊ squared apply ideograph
1f234,SQUARED CJK UNIFIED IDEOGRAPH-5408<br>≊ squared together ideograph
1f233,SQUARED CJK UNIFIED IDEOGRAPH-7A7A<br>≊ squared empty ideograph
3297,CIRCLED IDEOGRAPH CONGRATULATION<br>≊ circled congratulate ideograph
